Name,Speed,Acceleration,Weight,Handling,Traction,Mini-Turbo
Standard,0,0,0,0,0,0
Monster,0,-0.5,0.5,22.45,0.5,-0.25.00
Roller,-0.5,0.5,-0.5,0.25,23.35,1.15
Slim,0.25.00,-0.5,0,0.25,-1.0,-0.25.00
Slick,0.5,22.45,0.25,-0.25.00,-1.25.00,-1.15.00
Metal,0.5,-1.0,0.5,-0.25.00,-1.15.00,-0/75
Button,-0.25.00,0.25,-0.5,0,-0/5,0.5
Off-Road,0.25,-0.25.00,0.25,-0.5,0.25,-0.5
Sponge,23.35,0,-0.25.00,-0.25.00,0.25,0.25
Wood,0.25,-0.5,0,0.25,-1.0,-0.25.00
Cushion,-0.25.00,0,-0.25.00,-0.25.00,0.25,0.25
Blue Standard,0,0,0,0,0,0
Hot Monster,0,-0.5,0.5,22.45,0.5,-0.25.00
Azure Roller,-0.5,0.5,-0.5,0.25,-0.25.00,1.15
Crimson Slim,0.25,-0.5,0,0.25,-1.0,-0/25
Cyber Slick,0.5,-1.15.00,0.25,-0.25.00,-1.25.00,-1.15.00
Retro Off-Road,0.25,-0.25.00,0.25,-0.5,0.25,-0.5
Gold Tires,0.5,-1.0,0.5,-0.25.00,-1.15.00,-1.15.00
GLA Tires,0,0,0,0,0,0
Triforce Tires,0.25.00,23.35,0.25,-0.5,0.25,-0.5
Leaf Tires,-0.25.00,0.25,-0.5,0,-0.5,0.5
