Kart,Weight,Acceleration,On_Road_Traction,Off_Road_Traction,Mini_Turbo,Ground_Speed,Water_Speed,Anti_Gravity_Speed,Air_Speed,Ground_Handling,Water_Handling,Anti_Gravity_Handling,Air_Handling
Standard_Kart,2,4,3,3,4,3,3,3,3,3,2,3,3
Pipe_Frame,1,6,3,4,6,1,3,1,1,5,4,4,2
Mach_8,3,3,2,4,4,3,3,5,4,2,2,4,2
Steel_Driver,4,1,1,3,2,4,5,2,0,1,5,1,1
Cat_Cruiser,2,5,4,3,5,2,2,3,4,4,2,3,4
Circuit_Special,3,1,3,1,1,5,1,4,2,1,1,2,0
Tri-Speeder,4,1,1,3,2,4,5,2,0,1,5,1,1
Badwagon,4,0,2,5,0,5,2,3,1,0,1,1,0
Prancer,1,2,1,2,3,4,3,3,3,3,3,2,3
Biddybuggy,0,7,1,4,7,0,1,2,1,5,4,5,4
Landship,0,6,0,6,6,1,5,0,2,4,5,2,3
Sneeker,2,2,1,0,3,4,2,3,3,3,2,3,2
Sports_Coupe,3,3,2,4,4,3,3,5,4,2,2,4,2
Gold_Standard,2,2,1,0,3,4,2,3,3,3,2,3,2
Standard_Bike,1,5,3,5,5,2,2,4,3,4,3,4,3
Comet,2,5,4,3,5,2,2,3,4,4,2,3,4
Sport_Bike,1,2,1,2,3,4,3,3,3,3,3,2,3
The_Duke,2,4,3,3,4,3,3,3,3,3,2,3,3
Flame_Rider,1,5,3,5,5,2,2,4,3,4,3,4,3
Varmint,1,6,3,4,6,1,3,1,1,5,4,4,2
Mr._Scooty,0,7,1,4,7,0,1,2,1,5,4,5,4
Jet_Bike,1,2,1,2,3,4,3,3,3,3,3,2,3
Yoshi_Bike,2,5,4,3,5,2,2,3,4,4,2,3,4
Standard_ATV,4,0,2,5,0,5,2,3,1,0,1,1,0
Wild_Wiggler,1,5,3,5,5,2,2,4,3,4,3,4,3
Teddy_Buggy,2,5,4,3,5,2,2,3,4,4,2,3,4
GLA,4,0,2,5,0,5,2,3,1,0,1,1,0
W_25_Silver_Arrow,1,5,3,5,5,2,2,4,3,4,3,4,3
300_SL_Roadster,2,4,3,3,4,3,3,3,3,3,2,3,3
Blue_Falcon,0,3,1,3,3,4,2,4,3,2,3,5,1
Tanooki_Kart,3,2,4,7,3,2,4,3,3,4,4,3,3
B_Dasher,3,1,3,1,1,5,1,4,2,1,1,2,0
Master_Cycle,2,2,1,0,3,4,2,3,3,3,2,3,2
Streetle,0,6,0,6,6,1,5,0,2,4,5,2,3
P-Wing,3,1,3,1,1,5,1,4,2,1,1,2,0
City_Tripper,1,6,3,4,6,1,3,1,1,5,4,4,2
Bone_Rattler,4,1,1,3,2,4,5,2,0,1,5,1,1
Koopa_Clown,3,2,4,7,3,2,4,3,3,4,4,3,3
Splat_Buggy,0,3,1,3,3,4,2,4,3,2,3,5,1
Inkstriker,3,3,2,4,4,3,3,5,4,2,2,4,2
